eid	filename	class_mark	sort_class_mark
128555	MS-DAR-00002-000-00001.jpg	DAR 2: fc	DAR 00002: 00000fc
128556	MS-DAR-00002-000-00002.jpg	DAR 2: ifc	DAR 00002: 00000ifc
108865	MS-DAR-00002-000-00197 1.jpg	DAR 2: 75[3]_a	DAR 00002: 00075 00003A
108869	MS-DAR-00002-000-00205 1.jpg	DAR 2: 77[2]_a	DAR 00002: 00077 00002A
128557	MS-DAR-00002-000-00563.jpg	DAR 2: ibc	DAR 00002: 00999ibc
128558	MS-DAR-00002-000-00564.jpg	DAR 2: bc	DAR 00002: 00999z_bc
128559	MS-DAR-00002-000-00565.jpg	DAR 2: sp	DAR 00002: 00999z_sp
128273	MS-DAR-00003-000-00001.jpg	DAR 3: fc	DAR 00003: 00000fc
128274	MS-DAR-00003-000-00002.jpg	DAR 3: ifc	DAR 00003: 00000ifc
122223	MS-DAR-00003-000-00003.jpg	DAR 3: 204r	DAR 00003: 00204R
122812	MS-DAR-00003-000-00004.jpg	DAR 3: 204v	DAR 00003: 00204V
122224	MS-DAR-00003-000-00005.jpg	DAR 3: 205a[1]r	DAR 00003: 00205A 00001 R
122813	MS-DAR-00003-000-00006.jpg	DAR 3: 205a[1]v	DAR 00003: 00205A 00001 V
122225	MS-DAR-00003-000-00007.jpg	DAR 3: 205r	DAR 00003: 00205A 00001.5 R
122814	MS-DAR-00003-000-00008.jpg	DAR 3: 205v	DAR 00003: 00205A 00001.5 V
122226	MS-DAR-00003-000-00009.jpg	DAR 3: 205a[2]r	DAR 00003: 00205A 00002 R
122815	MS-DAR-00003-000-00010.jpg	DAR 3: 205a[2]v	DAR 00003: 00205A 00002 V
122227	MS-DAR-00003-000-00011.jpg	DAR 3: 206r	DAR 00003: 00206R
122816	MS-DAR-00003-000-00012.jpg	DAR 3: 206v	DAR 00003: 00206V
122228	MS-DAR-00003-000-00013.jpg	DAR 3: 206ar	DAR 00003: 00206_zAR
122817	MS-DAR-00003-000-00014.jpg	DAR 3: 206av	DAR 00003: 00206_zAV
122229	MS-DAR-00003-000-00015.jpg	DAR 3: 207r	DAR 00003: 00207R
122818	MS-DAR-00003-000-00016.jpg	DAR 3: 207v	DAR 00003: 00207V
122230	MS-DAR-00003-000-00017.jpg	DAR 3: 208ar	DAR 00003: 00208AR
122820	MS-DAR-00003-000-00018.jpg	DAR 3: 208av	DAR 00003: 00208AV
122231	MS-DAR-00003-000-00019.jpg	DAR 3: 208r	DAR 00003: 00208R
122819	MS-DAR-00003-000-00020.jpg	DAR 3: 208v	DAR 00003: 00208V
122232	MS-DAR-00003-000-00021.jpg	DAR 3: 209r	DAR 00003: 00209R
122821	MS-DAR-00003-000-00022.jpg	DAR 3: 209v	DAR 00003: 00209V
122233	MS-DAR-00003-000-00023.jpg	DAR 3: 210r	DAR 00003: 00210R
122822	MS-DAR-00003-000-00024.jpg	DAR 3: 210v	DAR 00003: 00210V
122234	MS-DAR-00003-000-00025.jpg	DAR 3: 211ar	DAR 00003: 00211AR
122824	MS-DAR-00003-000-00026.jpg	DAR 3: 211av	DAR 00003: 00211AV
122235	MS-DAR-00003-000-00027.jpg	DAR 3: 211r	DAR 00003: 00211R
122823	MS-DAR-00003-000-00028.jpg	DAR 3: 211v	DAR 00003: 00211V
122236	MS-DAR-00003-000-00029.jpg	DAR 3: 212r	DAR 00003: 00212R
122825	MS-DAR-00003-000-00030.jpg	DAR 3: 212v	DAR 00003: 00212V
122237	MS-DAR-00003-000-00031.jpg	DAR 3: 213r	DAR 00003: 00213R
122826	MS-DAR-00003-000-00032.jpg	DAR 3: 213v	DAR 00003: 00213V
122238	MS-DAR-00003-000-00033.jpg	DAR 3: 213ar	DAR 00003: 00213_zAR
122827	MS-DAR-00003-000-00034.jpg	DAR 3: 213av	DAR 00003: 00213_zAV
122239	MS-DAR-00003-000-00035.jpg	DAR 3: 214r	DAR 00003: 00214R
122828	MS-DAR-00003-000-00036.jpg	DAR 3: 214v	DAR 00003: 00214V
122240	MS-DAR-00003-000-00037.jpg	DAR 3: 214ar	DAR 00003: 00214_zAR
122829	MS-DAR-00003-000-00038.jpg	DAR 3: 214av	DAR 00003: 00214_zAV
122241	MS-DAR-00003-000-00039.jpg	DAR 3: 215r	DAR 00003: 00215R
122830	MS-DAR-00003-000-00040.jpg	DAR 3: 215v	DAR 00003: 00215V
122242	MS-DAR-00003-000-00041.jpg	DAR 3: 216r	DAR 00003: 00216R
122831	MS-DAR-00003-000-00042.jpg	DAR 3: 216v	DAR 00003: 00216V
122243	MS-DAR-00003-000-00043.jpg	DAR 3: 216ar	DAR 00003: 00216_zAR
122832	MS-DAR-00003-000-00044.jpg	DAR 3: 216av	DAR 00003: 00216_zAV
122244	MS-DAR-00003-000-00045.jpg	DAR 3: 217r	DAR 00003: 00217R
122833	MS-DAR-00003-000-00046.jpg	DAR 3: 217v	DAR 00003: 00217V
122245	MS-DAR-00003-000-00047.jpg	DAR 3: 218r	DAR 00003: 00218R
